playerID,yearID,teamID,round,position,f_G,f_GS,f_InnOuts,f_PO,f_A,f_E,f_DP,f_TP,f_PB
alomasa02,1995,CLE,WS,C,5,4,114,28,0,0,0,0,1
alomasa02,1996,CLE,ALDS1,C,4,4,108,40,4,1,0,0,0
alomasa02,1997,CLE,ALCS,C,6,6,174,49,1,0,1,0,0
alomasa02,1997,CLE,ALDS1,C,5,5,132,28,1,1,0,0,0
alomasa02,1997,CLE,WS,C,7,7,191,49,3,0,0,0,0
alomasa02,1998,CLE,ALCS,C,5,5,120,29,1,2,0,0,0
alomasa02,1998,CLE,ALDS1,C,4,4,108,29,0,1,0,0,0
alomasa02,1999,CLE,ALDS1,C,5,5,120,33,1,1,0,0,0
alonspe01,2022,NYN,NLWC1,1B,3,3,81,19,2,0,0,0,NULL
alonsyo01,2018,CLE,ALDS2,1B,2,2,48,18,2,0,3,0,NULL
aloufe01,1962,SFN,WS,LF,3,3,75,6,0,1,0,0,NULL
aloufe01,1962,SFN,WS,RF,4,4,108,3,0,0,0,0,NULL
alouje01,1973,OAK,WS,RF,6,5,117,5,0,0,0,0,NULL
alouma01,1962,SFN,WS,LF,2,1,30,2,0,0,0,0,NULL
alouma01,1962,SFN,WS,RF,2,1,33,0,0,0,0,0,NULL
alouma01,1970,PIT,NLCS,CF,3,3,81,6,0,0,0,0,NULL
alouma01,1972,OAK,ALCS,RF,5,5,138,8,0,0,0,0,NULL
alouma01,1972,OAK,WS,RF,7,7,186,11,1,1,1,0,NULL
aloumo01,1997,FLO,NLCS,LF,4,4,108,3,0,0,0,0,NULL
aloumo01,1997,FLO,NLDS1,LF,3,3,81,6,0,0,0,0,NULL
aloumo01,1997,FLO,WS,LF,7,7,192,11,0,0,0,0,NULL
aloumo01,1998,HOU,NLDS2,LF,4,4,102,4,0,0,0,0,NULL
aloumo01,2001,HOU,NLDS1,RF,3,3,78,5,0,0,0,0,NULL
aloumo01,2003,CHN,NLCS,LF,7,7,189,9,1,0,1,0,NULL
aloumo01,2003,CHN,NLDS2,LF,5,5,132,10,0,0,0,0,NULL
altavda01,2020,SDN,NLDS1,P,2,0,6,1,0,0,0,0,NULL
altroni01,1906,CHA,WS,P,2,2,54,6,11,0,1,0,NULL
altuvjo01,2015,HOU,ALDS1,2B,5,5,129,8,14,0,2,0,NULL
altuvjo01,2015,HOU,ALWC,2B,1,1,27,1,1,0,0,0,NULL
altuvjo01,2017,HOU,ALCS,2B,7,7,180,8,16,1,2,0,NULL
altuvjo01,2017,HOU,ALDS2,2B,4,4,105,1,9,0,1,0,NULL
altuvjo01,2017,HOU,WS,2B,7,7,192,12,15,0,4,0,NULL
altuvjo01,2018,HOU,ALCS,2B,2,2,51,2,2,0,1,0,NULL
altuvjo01,2018,HOU,ALDS2,2B,3,3,81,3,3,0,0,0,NULL
altuvjo01,2019,HOU,ALCS,2B,6,6,165,3,7,0,1,0,NULL
altuvjo01,2019,HOU,ALDS1,2B,5,5,129,7,11,0,5,0,NULL
altuvjo01,2019,HOU,WS,2B,7,7,189,14,8,1,4,0,NULL
altuvjo01,2020,HOU,ALCS,2B,7,7,180,3,18,3,3,0,NULL
altuvjo01,2020,HOU,ALDS2,2B,4,4,108,5,12,0,6,0,NULL
altuvjo01,2020,HOU,ALWC3,2B,2,2,54,1,3,1,0,0,NULL
altuvjo01,2021,HOU,ALCS,2B,6,6,159,6,8,2,3,0,NULL
altuvjo01,2021,HOU,ALDS1,2B,4,4,105,4,14,0,4,0,NULL
altuvjo01,2021,HOU,WS,2B,6,6,156,4,11,0,3,0,NULL
altuvjo01,2022,HOU,ALCS,2B,4,4,108,2,8,1,0,0,NULL
altuvjo01,2022,HOU,ALDS2,2B,3,3,108,2,7,0,1,0,NULL
altuvjo01,2022,HOU,WS,2B,6,6,162,6,11,0,3,0,NULL
altuvjo01,2023,HOU,ALCS,2B,4,4,108,6,10,1,2,0,NULL
altuvjo01,2023,HOU,ALDS2,2B,2,2,54,6,6,0,3,0,NULL
alvarjo02,2013,DET,ALDS2,P,1,0,9,0,0,0,0,0,NULL
alvarjo02,2021,SFN,NLDS2,P,1,0,1,0,0,0,0,0,NULL
alvarjo03,2020,TBA,ALCS,P,2,0,5,0,0,0,0,0,NULL
alvarjo03,2022,PHI,NLCS,P,3,0,9,0,0,0,0,0,NULL
alvarjo03,2022,PHI,NLDS1,P,3,0,11,1,0,0,0,0,NULL
alvarjo03,2022,PHI,NLWC2,P,2,0,4,0,0,0,0,0,NULL
alvarjo03,2022,PHI,WS,P,4,0,10,0,0,0,0,0,NULL
alvarjo03,2023,PHI,NLCS,P,4,0,12,0,1,0,0,0,NULL
alvarjo03,2023,PHI,NLDS1,P,3,0,9,0,1,0,0,0,NULL
alvarjo03,2023,PHI,NLWC2,P,1,0,3,0,0,0,0,0,NULL
alvarpe01,2013,PIT,NLDS1,3B,5,5,129,3,11,1,0,0,NULL
alvarpe01,2013,PIT,NLWC,3B,1,1,27,0,3,0,1,0,NULL
alvarpe01,2015,PIT,NLWC,1B,1,0,18,3,1,0,0,0,NULL
alvarwi01,1993,CHA,ALCS,P,1,1,27,0,2,0,1,0,NULL
alvarwi01,1997,SFN,NLDS1,P,1,1,18,0,0,0,0,0,NULL
alvarwi01,2004,LAN,NLDS1,P,2,0,10,0,0,0,0,0,NULL
alvaryo01,2019,HOU,WS,LF,1,1,18,1,0,0,0,0,NULL
alvaryo01,2021,HOU,ALCS,LF,1,1,27,0,0,0,0,0,NULL
alvaryo01,2021,HOU,ALDS1,LF,1,1,27,1,0,0,0,0,NULL
alvaryo01,2021,HOU,WS,LF,3,3,69,5,0,0,0,0,NULL
alvaryo01,2022,HOU,ALCS,LF,3,3,81,2,0,0,0,0,NULL
alvaryo01,2022,HOU,ALDS2,LF,3,3,105,5,1,0,0,0,NULL
alvaryo01,2022,HOU,WS,LF,4,4,108,6,0,0,0,0,NULL
alvaryo01,2023,HOU,ALDS2,LF,1,1,27,1,0,0,0,0,NULL
alyeabr01,1970,MIN,ALCS,LF,2,2,51,0,0,0,0,0,NULL
amarari01,1997,SEA,ALDS2,1B,2,1,18,7,2,0,0,0,NULL
amaroru02,1995,CLE,WS,RF,1,0,6,0,0,0,0,0,NULL
amesre01,1905,NY1,WS,P,1,0,3,0,1,0,0,0,NULL
amesre01,1911,NY1,WS,P,2,1,24,0,1,1,0,0,NULL
amesre01,1912,NY1,WS,P,1,0,6,0,1,0,0,0,NULL
amezaal01,2004,ANA,ALDS1,2B,2,1,26,0,2,0,0,0,NULL
amorosa01,1955,BRO,WS,CF,1,0,15,1,0,0,0,0,NULL
amorosa01,1955,BRO,WS,LF,5,4,102,8,2,0,1,0,NULL
amorosa01,1956,BRO,WS,LF,6,6,153,10,0,0,0,0,NULL
anderbr01,1996,BAL,ALCS,CF,5,5,138,8,0,0,0,0,NULL
anderbr01,1996,BAL,ALDS1,CF,4,4,114,7,0,0,0,0,NULL
anderbr01,1997,BAL,ALCS,CF,6,6,174,13,0,1,0,0,NULL
anderbr01,1997,BAL,ALDS2,CF,4,4,108,6,0,0,0,0,NULL
anderbr02,1997,CLE,ALCS,P,3,0,19,1,2,0,0,0,NULL
anderbr02,1997,CLE,WS,P,3,0,11,0,1,0,0,0,NULL
anderbr02,1999,ARI,NLDS2,P,1,1,21,1,1,0,0,0,NULL
anderbr02,2001,ARI,NLCS,P,1,0,10,0,0,0,0,0,NULL
anderbr02,2001,ARI,NLDS2,P,2,0,12,0,3,0,0,0,NULL
anderbr02,2001,ARI,WS,P,1,1,16,0,0,0,0,0,NULL
anderbr03,2008,CHA,ALDS2,CF,2,1,33,1,0,0,0,0,NULL
anderbr03,2008,CHA,ALDS2,LF,1,0,3,0,0,0,0,0,NULL
anderbr04,2012,OAK,ALDS2,P,1,1,18,0,2,0,0,0,NULL
anderbr04,2013,OAK,ALDS2,P,1,0,1,0,0,0,0,0,NULL
anderbr04,2015,LAN,NLDS2,P,1,1,9,0,1,0,0,0,NULL
anderbr06,2020,MIA,NLDS2,3B,3,3,75,2,5,1,0,0,NULL
anderbr06,2020,MIA,NLWC3,3B,2,2,54,1,2,0,0,0,NULL
anderda02,1985,LAN,NLCS,3B,1,0,3,0,0,0,0,0,NULL
anderda02,1985,LAN,NLCS,SS,3,1,48,3,4,0,1,0,NULL
anderfr01,1917,NY1,WS,P,1,0,6,0,1,0,0,0,NULL
anderga01,2002,ANA,ALCS,LF,5,5,132,10,1,0,0,0,NULL
anderga01,2002,ANA,ALDS1,LF,4,4,105,9,0,0,0,0,NULL
anderga01,2002,ANA,WS,LF,7,7,183,17,1,1,0,0,NULL
anderga01,2004,ANA,ALDS1,CF,3,3,83,8,0,0,0,0,NULL
anderga01,2005,LAA,ALCS,CF,1,1,27,2,0,0,0,0,NULL
anderga01,2005,LAA,ALCS,LF,4,4,107,8,1,0,1,0,NULL
