schoolID,school_name,school_city,school_state,school_country,NULL
gasgajc,South Georgia College,Douglas,GA,USA,NULL
gaswestern,Georgia Southwestern State University,Americus,GA,USA,NULL
gatech,Georgia Institute of Technology,Atlanta,GA,USA,NULL
genevapa,Geneva College,Beaver Falls,PA,USA,NULL
georgefox,George Fox University,Newberg,OR,USA,NULL
georgemas,George Mason University,Fairfax,VA,USA,NULL
georgetown,Georgetown University,Washington,DC,USA,NULL
georgewash,George Washington University,Washington,DC,USA,NULL
georgia,University of Georgia,Athens,GA,USA,NULL
georgiasou,Georgia Southern University,Statesboro,GA,USA,NULL
georgiast,Georgia State University,Atlanta,GA,USA,NULL
georgtwnky,Georgetown College,Georgetown,KY,USA,NULL
gettysburg,Gettysburg College,Gettysburg,PA,USA,NULL
glenvilst,Glenville State College,Glenville,WV,USA,NULL
gonzaga,Gonzaga University,Spokane,WA,USA,NULL
grambling,Grambling State University,Grambling,LA,USA,NULL
grandview,Grand View College,Des Moines,IA,USA,NULL
grcanyon,Grand Canyon University,Phoenix,AZ,USA,NULL
grinnellia,Grinnell College,Grinnell,IA,USA,NULL
grossmont,Grossmont College,El Cajon,CA,USA,NULL
grovecity,Grove City College,Grove City,PA,USA,NULL
grvalleyst,Grand Valley State University,Allendale,MI,USA,NULL
guilfordnc,Guilford College,Greensboro,NC,USA,NULL
hamlinemn,Hamline University,St. Paul,MN,USA,NULL
hampsydney,Hampden-Sydney College,Hampden-Sydney,VA,USA,NULL
harding,Harding University,Searcy,AR,USA,NULL
hardinsimm,Hardin-Simmons University,Abilene,TX,USA,NULL
hartford,University of Hartford,West Hartford,CT,USA,NULL
hartwickny,Hartwick College,Oneonta,NY,USA,NULL
harvard,Harvard University,Cambridge,MA,USA,NULL
haskellks,Haskell Indian Nations University,Lawrence,KS,USA,NULL
hawaii,University of Hawaii at Manoa,Honolulu,HI,USA,NULL
hawaiihilo,University of Hawaii at Hilo,Hilo,HI,USA,NULL
hawaiipac,Hawaii Pacific University,Honolulu,HI,USA,NULL
heidelberg,Heidelberg College,Tiffin,OH,USA,NULL
hendrixar,Hendrix College,Conway,AR,USA,NULL
hendrsonst,Henderson State University,Arkadelphia,AR,USA,NULL
highpoint,High Point University,High Point,NC,USA,NULL
hillsdale,Hillsdale College,Hillsdale,MI,USA,NULL
hiramoh,Hiram College,Hiram,OH,USA,NULL
hobartny,Hobart and William Smith Colleges,Geneva,NY,USA,NULL
hofstra,Hofstra University,Hempstead,NY,USA,NULL
holycross,College of the Holy Cross,Worcester,MA,USA,NULL
hopemi,Hope College,Holland,MI,USA,NULL
houstnbapt,Houston Baptist University,Houston,TX,USA,NULL
houston,University of Houston,Houston,TX,USA,NULL
howard,Howard University,Washington,DC,USA,NULL
howrdpayne,Howard Payne University,Brownwood,TX,USA,NULL
humboldtst,Humboldt State University,Arcata,CA,USA,NULL
huntercuny,Hunter College, The City University of New York,New York,NY,USA
iadesmo,Des Moines University,Des Moines,IA,USA,NULL
iadmacc,Des Moines Area Community College,Boone,IA,USA,NULL
iaellsw,Ellsworth College,Iowa Falls,IA,USA,NULL
